# Esperanto-Russian translations created from the Universal dictionary at 2011-08-27T09:40:50-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 английский язык 	 language 
 botelo 	 бутылка 	 food 
 boto 	 ботинок 	 clothes 
 bovino 	 корова 	 animal 
 brako 	 рука 	 anatomy 
 brancxo 	 ветвь 	 nature 
 bretaro 	 полка 	 house 
 briko 	 кирпич 	 house 
 broso 	 щётка 	 object 
 bruna 	 коричневый 	 color 
 bruo 	 шум ; гам 	 society 
 bruska 	 обрывистый 	 adjective 
 brusto 	 грудная клетка ; грудь 	 anatomy 
 brusto 	 грудь 	 anatomy 
 busxo 	 рот 	 anatomy 
 butero 	 масло 	 food 
 butono 	 кнопка 	 object 
 buŝo 	 уста ; рот 	 anatomy 
 celo 	 цель 	 abstract 
 cent 	 сто 	 number 
 centra 	 центральный 	 adjective 
 centro 	 середина ; средняя часть 	 mathematics 
 centro 	 центр 	 mathematics 
 cerbo 	 мозг 	 anatomy 
 certa 	 верный 	 adjective 
 certe 	 непременно 	 adverb 
 cirkla 	 круглый 	 adjective 
 cxar 	 ибо 	 conjunction 
 cxefo 	 шеф 	 society 
 cxeko 	 чек 	 business 
 cxelo 	 келья 	 society 
 cxevalo 	 лошадь ; конь 	 animal 
 cxielo 	 небо 	 nature 
 cxio 	 все 	 pronoun 
 cxio 	 все ; бсё 	 adjective 
 cxirkaux 	 кругом ; вокруг 	 adverb 
 cxirkauxajxo 	 среда ; окружающая среда 	 nature 
 cxiu 	 каждый 	 adjective 
 cxiu 	 каждый 	 adjective 
 cxu 	 либо 	 conjunction 
 damagxi 	 ранить 	 verb 
 damagxo 	 поломка 	 transport 
 danci 	 танцевать 	 verb 
 danki 	 благодарить 	 verb 
 danĝera 	 опасный 	 adjective 
 danĝero 	 опасность 	 abstract 
 dato 	 дата ; число 	 time 
 datumoj 	 сведениe ; информация 	 communication 
 dauxrigi 	 продолжать 	 verb 
 de 	 о 	 preposition 
 decembro 	 декабрь 	 time 
 decidi 	 решить 	 verb 
 decido 	 заключение ; решение 	 communication 
 defendo 	 оборона 	 abstract 
 defii 	 давать отпор ; противостоять 	 verb 
 dek 	 десять 	 number 
 deka 	 десятый 	 number 
 dekdua 	 двенадцатый 	 number 
 deklivo 	 склон 	 mathematics 
 dekoro 	 декорация 	 object 
 dekstra 	 правый 	 adjective 
 delikata 	 деликатный ; щекотливый 	 adjective 
 demando 	 вопрос 	 linguistics 
 dento 	 зуб 	 anatomy 
 depago 	 такса 	 business 
 desegni 	 рисовать 	 verb 
 desegno 	 образец 	 object 
 detalo 	 подробность ; деталь 	 logistics 
 detruo 	 разрушение 	 abstract 
 devio 	 отклонение 	 mathematics 
 devo 	 повинность 	 abstract 
 deziri 	 пожелать ; хотеть 	 verb 
 deziro 	 желание 	 abstract 
 difekti 	 повредить 	 verb 
 diferenca 	 непохожий 	 adjective 
 diferenco 	 разница 	 abstract 
 dika 	 толстый 	 adjective 
 dika 	 толстый 	 adjective 
 dikfingro 	 большой палец 	 anatomy 
 dimancxo 	 воскресенье 	 time 
 direkto 	 направление 	 mathematics 
 direktoro 	 директор 	 profession 
 diri 	 говорить 	 verb 
 disciplino 	 дисциплина 	 linguistics 
 diskuti 	 дискутировать 	 verb 
 diskuto 	 диспут ; прения ; беседа 	 communication 
 dispremi 	 смять 	 verb 
 disputi 	 спорить 	 verb 
 disputo 	 спор 	 mathematics 
 distanco 	 расстояние 	 mathematics 
 distraĵo 	 веселье ; развлечение ; забава ; увеселение 	 art 
 diversa 	 различный 	 adjective 
 diverseco 	 разнообразность ; разнообразие ; пестрота 	 art 
 divido 	 разделение 	 mathematics 
 divizio 	 секция ; отделение 	 mathematics 
 do 	 поэтому 	 adverb 
 doktoro 	 врач ; доктор 	 profession 
 dolcxa 	 сладкое 	 adjective 
 doloro 	 боль 	 medicine 
 dolĉeco 	 сладость 	 food 
 domo 	 дом 	 house 
 domo 	 дом 	 house 
 domo 	 здание 	 city 
 donaco 	 подарок 	 object 
 doni 	 давать 	 verb 
 dormado 	 сон 	 nature 
 dormcxambro 	 спальня 	 house 
 dorso 	 большой чан ; спина 	 anatomy 
 drato 	 провод 	 object 
 du 	 два 	 number 
 dua 	 второй 	 adjective 
 dubi 	 сомневаться 	 verb 
 dubo 	 сомнение ; неуверенность 	 communication 
 dudek 	 двадцать 	 number 
 dum 	 в течение 	 preposition 
 duono 	 половина 	 mathematics 
 duŝo 	 душ 	 house 
 ebena 	 ровный 	 adjective 
 ebenejo 	 равнина 	 nature 
 eble 	 может быть 	 adverb 
 ecx 	 даже 	 adverb 
 edukado 	 воспитание 	 society 
 eduki 	 воспитать 	 verb 
 edzeco 	 брак 	 society 
 edzigxi 	 жениться 	 verb 
 edzinigxinta 	 женатый 	 adjective 
 edzino 	 жена 	 family 
 edzo 	 муж 	 family 
 efektiva 	 действительный 	 adjective 
 egala 	 равный ; одинаковый 	 adjective 
 ekde 	 с 	 preposition 
 eklezio 	 церковь ; храм 	 city 
 ekonomia 	 экономический 	 adjective 
 ekonomia 	 экономический 	 adjective 
 ekonomio 	 хозяйство ; экономика 	 business 
 ekspliki 	 объяснять 	 verb 
 eksplodo 	 извержение 	 abstract 
 ekster 	 снаружи 	 adverb 
 eksterajxo 	 наружность ; внешность 	 mathematics 
 eksterlanda 	 иностранный 	 adjective 
 ekvilibro 	 баланц 	 physics 
 ekzameno 	 экзамен 	 communication 
 ekzemplo 	 пример 	 communication 
 ekzerci 	 проводить ; практиковать 	 verb 
 ekzistado 	 существование 	 society 
 ekzisti 	 быть 	 verb 
 elcento 	 процент 	 mathematics 
 elefanto 	 слон 	 animal 
 eleganta 	 элегантный 	 adjective 
 elekti 	 выбрать 	 verb 
 elekto 	 выбор 	 abstract 
 elekto 	 выборы 	 mathematics 
 elektra 	 электрический 	 adjective 
 elemento 	 элемент 	 mathematics 
 elpreni 	 убрать 	 verb 
 elŝeligi 	 чистить 	 verb 
 emigi 	 побудить 	 verb 
 en 	 в 	 preposition 
 en 	 внутрь ; в ; до 	 adverb 
 ene 	 внутри 	 adverb 
 energio 	 энергия 	 nature 
 enhavi 	 заключать в себе ; охватывать 	 verb 
 eniri 	 вступить 	 verb 
 enspezo 	 оклад ; заработок ; плата 	 business 
 envolvi 	 закрыть 	 verb 
 epoko 	 возраст 	 time 
 epoko 	 период 	 time 
 erara 	 ошибочный 	 adjective 
 eraro 	 ошибка 	 communication 
 esenco 	 суть 	 abstract 
 esperi 	 надеяться 	 verb 
 esplorado 	 обследование 	 abstract 
 esploro 	 исследование 	 abstract 
 esprimi 	 выразить 	 verb 
 esti 	 быть 	 verb 
 estinta 	 бывший 	 adjective 
 estonteco 	 будущее 	 time 
 estro 	 лидер 	 society 
 eta 	 малый 	 adjective 
 eta 	 небольшой 	 adjective 
 etagxo 	 этаж 	 house 
 evento 	 событие 	 abstract 
 eventuala 	 возможный 	 adjective 
 evidente 	 очевидно 	 adverb 
 eviti 	 уклониться ; избежать 	 verb 
 evolucii 	 развиваться 	 verb 
 evoluo 	 эволюция ; развитие 	 nature 
 eĝo 	 кромка ; край 	 mathematics 
 fabriki 	 изготовить 	 verb 
 fabriko 	 завод 	 city 
 fabriko 	 завод ; фабрика 	 city 
 facila 	 лёгкий 	 adjective 
 fakto 	 факт 	 abstract 
 fakturo 	 фактура ; счёт 	 business 
 fali 	 падать ; упасть 	 verb 
 falo 	 падение 	 abstract 
 falsa 	 фальшивый 	 adjective 
 falto 	 загиб 	 object 
 familio 	 семья 	 family 
 familio 	 семья 	 family 
 farbo 	 краска 	 art 
 fari 	 делать 	 verb 
 fari 	 творить 	 verb 
 farmbieno 	 ферма 	 nature 
 faro 	 поступок ; действие 	 mathematics 
 fazo 	 фаза 	 time 
 februaro 	 февраль 	 time 
 feliĉa 	 счастливый 	 adjective 
 fendeto 	 брешь 	 abstract 
 fendi 	 разделить 	 verb 
 fenestro 	 окно 	 house 
 fermi 	 закрывать 	 verb 
 fermita 	 закрытый 	 adjective 
 fero 	 железо 	 material 
 festo 	 вечеринка 	 society 
 fetori 	 вонять 	 verb 
 fido 	 вероисповедание 	 society 
 fiksita 	 данный ; установленный 	 adjective 
 filino 	 дочь 	 family 
 filmo 	 фильм ; кинокартина 	 art 
 filo 	 сын 	 family 
 fina 	 конечный 	 adjective 
 financa 	 финансовый 	 adjective 
 fingro 	 палец 	 anatomy 
 fini 	 закончить ; докончить 	 verb 
 fini 	 кончать 	 verb 
 fino 	 конец 	 abstract 
 firma 	 твёрдый ; жёсткий 	 adjective 
 firmo 	 фирма ; торговый дом 	 business 
 fizika 	 телесный ; физический 	 adjective 
 fizika 	 физический 	 adjective 
 fiŝo 	 рыба 	 animal 
 flago 	 флаг 	 object 
 flamo 	 огонь ; пламя 	 nature 
 flava 	 жёлтый 	 color 
 flegado 	 попечение 	 abstract 
 flegistino 	 медсестра ; няня 	 profession 
 floro 	 цветок 	 nature 
 flugi 	 летать 	 verb 
 flugilo 	 крыло 	 anatomy 
 flugo 	 летание ; полёт 	 transport 
 fluo 	 поток 	 nature 
 fluo 	 струя 	 nature 
 fluo 	 течение ; поток 	 nature 
 fojfoje 	 иногда 	 adverb 
 folio 	 листва 	 nature 
 fondi 	 основать 	 verb 
 fonto 	 источник 	 nature 
 fora 	 далёкий 	 adjective 
 forgesi 	 забыть ; забывать 	 verb 
 foriri 	 уйти 	 verb 
 forko 	 вилка 	 food 
 formiko 	 муравей 	 animal 
 formo 	 конфигурация, форма 	 art 
 formularo 	 формуляр 	 society 
 forpermeso 	 отпуск 	 society 
 forta 	 сильный 	 adjective 
 forto 	 сила 	 abstract 
 forto 	 сила 	 abstract 
 fotoaparato 	 фотоаппарат 	 object 
 fotografisto 	 фотограф 	 profession 
 fragila 	 хрупкий 	 adjective 
 framo 	 рамка 	 object 
 frapo 	 удар 	 abstract 
 fratino 	 сестра 	 family 
 frato 	 брат 	 family 
 frauxlino 	 девушка ; девочка 	 family 
 frazo 	 предложение 	 linguistics 
 fresxa 	 свежий 	 adjective 
 fresxdata 	 недавний 	 adjective 
 fromaĝo 	 сыр 	 food 
 frue 	 ранний ; скорый 	 adjective 
 frue 	 скоро 	 adverb 
 frukto 	 фрукты 	 food 
 frunto 	 лоб ; чело 	 anatomy 
 fumi 	 коптить 	 verb 
 fumo 	 дым 	 nature 
 funkciado 	 действие 	 mathematics 
 funkcio 	 намерение ; цель 	 linguistics 
 funkcio 	 функция 	 mathematics 
 gajni 	 выиграть ; победить 	 verb 
 gajni 	 достичь 	 verb 
 garaĝo 	 гараж 	 transport 
 gardo 	 сторож 	 profession 
 gasto 	 гость 	 travelling 
 geedzigxo 	 брак 	 family 
 generalo 	 генерал 	 profession 
 geno 	 ген 	 anatomy 
 genuo 	 колено 	 anatomy 
 gildo 	 клуб 	 society 
 gitaro 	 гитара 	 object 
 glacio 	 лёд 	 material 
 glacio 	 лёд 	 nature 
 glaso 	 стакан 	 food 
 glata 	 гладкий 	 adjective 
 glito 	 буксовка 	 abstract 
 glueca 	 клейкий 	 adjective 
 glui 	 клеить 	 verb 
 gluo 	 клей 	 material 
 golfo 	 гольф 	 travelling 
 golo 	 гол 	 sports 
 gorgxo 	 глотка ; зев ; горло 	 anatomy 
 grado 	 степень 	 linguistics 
 grado 	 уровень 	 linguistics 
 granda 	 большой ; великий 	 adjective 
 granda 	 крупный ; большой 	 adjective 
 grandeco 	 размер 	 physics 
 grasa 	 жирный 	 adjective 
 graso 	 жир 	 material 
 grava 	 важный 	 adjective 
 grizo 	 серый 	 adjective 
 grizo 	 серый 	 color 
 grundo 	 земля 	 material 
 grundo 	 земля ; почва 	 nature 
 grupo 	 группа 	 abstract 
 grupo 	 общество 	 society 
 gusto 	 вкус 	 nature 
 gustumi 	 poпробовать 	 verb 
 guto 	 капля 	 object 
 gvidi 	 вести 	 verb 
 gxenerala 	 всеобщий ; общий 	 adjective 
 gxia 	 его 	 pronoun 
 gxin 	 это 	 pronoun 
 gxis 	 до 	 conjunction 
 gxojigi 	 обрадовать 	 verb 
 gxusta 	 правильный 	 adjective 
 gxuste 	 точно 	 adverb 
 haltigi 	 останавить 	 verb 
 halto 	 остановить 	 abstract 
 haro 	 волос ; ворс 	 anatomy 
 haroj 	 волосы 	 anatomy 
 hauxto 	 кожа 	 anatomy 
 havebla 	 доступный 	 adjective 
 havi 	 владеть 	 verb 
 havi 	 иметь 	 verb 
 havo 	 имущество 	 society 
 hejmo 	 жилище ; дом 	 house 
 hela 	 светлый 	 adjective 
 hela 	 явный 	 adjective 
 helpi 	 помочь 	 verb 
 helpo 	 помощь ; содействие 	 communication 
 herbo 	 трава 	 nature 
 historio 	 история 	 society 
 hodiaŭ 	 сегодня 	 adverb 
 homa 	 гуманный 	 adjective 
 homo 	 лицо ; человек 	 family 
 homo 	 мужчина ; человек 	 family 
 honori 	 учитывать 	 verb 
 horlogxo 	 часы 	 device 
 horloĝo 	 часы 	 object 
 horo 	 час 	 time 
 hotelo 	 гостиница ; отель 	 city 
 humideco 	 влажность 	 nature 
 humoro 	 юмор 	 communication 
 hundo 	 собака 	 animal 
 iam 	 раз 	 adverb 
 identigi 	 опознать 	 verb 
 ili 	 они 	 pronoun 
 ilia 	 их 	 pronoun 
 ilin 	 их 	 pronoun 
 imiti 	 подражать 	 verb 
 impostigo 	 налогообложение ; налог 	 business 
 ina 	 женский 	 adjective 
 indiki 	 сигнализировать 	 verb 
 individua 	 единочный 	 adjective 
 individuo 	 индивидуум 	 society 
 industria 	 промышленный ; индустриальный 	 adjective 
 industrio 	 промышленность 	 society 
 infaneto 	 ребёнок 	 family 
 infano 	 юноша ; паренёк 	 family 
 informo 	 сведениe ; информация 	 communication 
 inkluzivi 	 включить 	 verb 
 inko 	 чернила 	 material 
 insekto 	 насекомые 	 animal 
 institucio 	 учреждение 	 society 
 instruado 	 образование 	 education 
 instrui 	 обучать 	 verb 
 instruisto 	 учитель 	 profession 
 instrumento 	 инструмент ; орудие 	 device 
 insulo 	 остров 	 nature 
 inteligenta 	 разумный ; интеллигентный 	 adjective 
 intenci 	 замышлять 	 verb 
 inter 	 среди 	 preposition 
 interesa 	 интересный 	 adjective 
 intereso 	 интерес 	 communication 
 interezo 	 процент 	 business 
 interkonsento 	 соглашение ; договор ;контракт ; урегулирование 	 business 
 internacia 	 международный 	 adjective 
 interreto 	 интернет 	 mathematics 
 intervjuo 	 разговор ; беседа ; диалог 	 communication 
 inĝenierarto 	 технология 	 abstract 
 iri 	 ходить 	 verb 
 iĝi 	 стать 	 verb 
 jako 	 куртка ; пиджак 	 clothes 
 jam 	 уже 	 adverb 
 januaro 	 январь 	 time 
 jarcento 	 век 	 time 
 jaro 	 год 	 time 
 jes 	 да 	 abstract 
 julio 	 июль 	 time 
 juna 	 молодой 	 adjective 
 junio 	 июнь 	 time 
 jupo 	 юбка 	 clothes 
 juro 	 право 	 society 
 juvelo 	 драгоценность 	 object 
 juĝisto 	 судья 	 profession 
 jxauxdo 	 четверг 	 time 
 jxeti 	 бросать ; кидать 	 verb 
 kafo 	 кофе 	 food 
 kaj 	 и 	 conjunction 
 kalkuli 	 высчитать 	 verb 
 kalkulilo 	 арифмометр ; счётчик 	 device 
 kalkulo 	 счёт 	 business 
 kampo 	 поле 	 nature 
 kantisto 	 певец 	 profession 
 kanzono 	 песня 	 art 
 kapabla 	 способный 	 adjective 
 kapitalo 	 капитал 	 business 
 kapitulaci 	 поддаться 	 verb 
 kapo 	 голова 	 anatomy 
 kapro 	 козёл ; коза 	 animal 
 kapti 	 схватить 	 verb 
 karaktero 	 качество 	 abstract 
 karaktro 	 знак 	 linguistics 
 karbo 	 уголь 	 material 
 karbonhidrato 	 углевод 	 food 
 kardinala 	 основной 	 adjective 
 karto 	 карточка 	 object 
 kastelo 	 замок ; кремль 	 city 
 kato 	 кот ; кошка 	 animal 
 kauxzo 	 причина 	 abstract 
 kemia 	 химический 	 adjective 
 kemia elemento 	 элемент 	 material 
 kemiaĵo 	 химикат 	 material 
 kemio 	 химия 	 science 
 kesteto 	 коробка 	 object 
 kesto 	 ларь 	 object 
 kial 	 почему 	 adverb 
 kiel 	 как 	 adverb 
 kies 	 чей 	 pronoun 
 kiki 	 лягнуть 	 verb 
 kino 	 кино ; кинотеатр 	 city 
 kio 	 который 	 pronoun 
 kisi 	 целовать 	 verb 
 kiso 	 поцелуй 	 relations 
 kiu 	 какой 	 pronoun 
 kiu 	 кого 	 pronoun 
 kiu 	 кто 	 pronoun 
 klabo 	 дубинка 	 object 
 klasi 	 сортировать 	 verb 
 klaso 	 ранг ; класс 	 art 
 klavo 	 клавиша 	 object 
 kliento 	 покупатель ; заказчик ; клиент 	 business 
 klingo 	 лезвие 	 object 
 knabo 	 мальчик ; парень 	 family 
 kognicio 	 знание 	 education 
 kolo 	 шея ; горло 	 anatomy 
 koloro 	 окрашенность ; цвет 	 art 
 koloroj 	 краска 	 art 
 kolumo 	 воротник ; туфля 	 clothes 
 komandi 	 контролировать 	 verb 
 komenciĝi 	 начинаться 	 verb 
 komenco 	 старт 	 abstract 
 komerco 	 занятие ; торговля 	 business 
 komisiono 	 комитет ; комиссия 	 society 
 kompari 	 сравнивать 	 verb 
 komparo 	 сравнение 	 abstract 
 kompleta 	 комплектный 	 adjective 
 kompleto 	 комплект 	 sports 
 kompleto 	 множество 	 mathematics 
 kompreni 	 понимать 	 verb 
 kompreni 	 понимать 	 verb 
 komputero 	 компьютер 	 device 
 komuna 	 совместный 	 adjective 
 komunumo 	 община 	 society 
 koncedi 	 припустить ; признать 	 verb 
 koncerto 	 концерт 	 art 
 koncilio 	 совет 	 society 
 kondimenti 	 приправить 	 verb 
 kondiĉo 	 состояние 	 abstract 
 kondukado 	 руководство ; предводительство 	 society 
 konduki 	 завести 	 verb 
 konduti 	 относиться 	 verb 
 konduto 	 поведения 	 abstract 
 konkurado 	 соревнование ; состязание 	 society 
 konkuranto 	 соперник 	 business 
 konkurenco 	 конкуренция ; соревнование 	 business 
 konscia 	 сознающий 	 adjective 
 konsekvenco 	 последствие 	 medicine 
 konsenti 	 согласиться 	 verb 
 konservi 	 сохранить 	 verb 
 konsideri 	 считать 	 verb 
 konsilo 	 совет 	 communication 
 konstruado 	 стройка 	 house 
 konstrui 	 строить 	 verb 
 kontrakto 	 контракт 	 business 
 kontraux 	 против 	 preposition 
 kontrauxa 	 противоположный 	 adjective 
 kopii 	 копировать 	 verb 
 kopio 	 копия 	 object 
 koramikino 	 девочка ; поклонница 	 family 
 korbo 	 корзина 	 object 
 korespondi 	 сходиться 	 verb 
 koro 	 сердце 	 anatomy 
 kosmo 	 космос 	 mathematics 
 kosto 	 расход 	 society 
 kosto 	 стоимость ; цена 	 business 
 kostumo 	 одежда ; платье 	 clothes 
 kotono 	 хлопок 	 material 
 koverto 	 конверт 	 object 
 kovrilo 	 крышка 	 object 
 krajono 	 карандаш 	 object 
 kravato 	 галстук 	 clothes 
 kredi 	 верить 	 verb 
 kreski 	 расти 	 verb 
 kreski 	 увеличивать(ся) 	 verb 
 kresko 	 рост 	 abstract 
 kriegi 	 кричать 	 verb 
 krimo 	 преступление 	 society 
 kriterio 	 критерий 	 communication 
 krocxilo 	 крючок 	 object 
 kruda 	 грубый 	 adjective 
 kruda 	 грубый 	 adjective 
 kruro 	 нога 	 anatomy 
 kudri 	 шить 	 verb 
 kudrilo 	 иголка ; игла 	 medicine 
 kuiradi 	 варить 	 verb 
 kuirejo 	 кухня 	 house 
 kuirforno 	 печь 	 device 
 kuiri 	 готовить 	 verb 
 kuiristo 	 повар ; кухарка 	 profession 
 kuko 	 сладкое ; пирожное 	 food 
 kulero 	 ложка 	 food 
