# French-Russian translations created from the Universal dictionary at 2011-08-27T09:41:06-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Англия ; Великобритания 	 country 
 arbre 	 дерево 	 house 
 arc 	 кривая ; дуга 	 art 
 argent 	 деньги 	 business 
 argent 	 серебро 	 material 
 argenté 	 серебряный 	 adjective 
 argument 	 аргумент 	 communication 
 argument 	 диспут ; прения ; беседа 	 communication 
 armée 	 армия 	 society 
 armée 	 армия 	 society 
 arrangement 	 соглашение ; договор ;контракт ; урегулирование 	 business 
 arriver 	 достичь 	 verb 
 arriver 	 приехать 	 verb 
 arriver 	 случиться 	 verb 
 arrière 	 задняя страница 	 clothes 
 arrondir 	 округлять(ся) 	 verb 
 arrêt 	 остановить 	 abstract 
 arrêter 	 останавить 	 verb 
 art 	 искусство 	 art 
 artiste 	 художник 	 profession 
 ascenseur 	 лифт 	 device 
 ascension 	 подъём 	 abstract 
 aspect 	 аспект 	 abstract 
 assez 	 довольно 	 adverb 
 assiette 	 тарелка 	 food 
 assoiffé 	 жаждущий 	 adjective 
 assurance 	 страховка 	 business 
 assurer 	 спасти 	 verb 
 assurément 	 непременно 	 adverb 
 astucieux 	 проницательный 	 adjective 
 attaque 	 набег 	 abstract 
 attaquer 	 атаковать 	 verb 
 attendre 	 ждать 	 verb 
 attendre 	 ждать 	 verb 
 attention 	 внимание 	 communication 
 attention 	 заботиться 	 verb 
 atterrir 	 приземлиться 	 verb 
 attitude 	 точка зрения 	 abstract 
 attraper 	 обмануть 	 verb 
 attraper 	 получить 	 verb 
 au lieu de 	 вместо 	 adverb 
 au-dessous 	 нижний 	 adjective 
 aucun 	 никакой ; никто 	 adjective 
 audio 	 звук 	 abstract 
 augmentation 	 прирост 	 abstract 
 augmenter 	 увеличивать(ся) 	 verb 
 aujourd'hui 	 сегодня 	 adverb 
 ausculter 	 слушать 	 verb 
 aussi 	 tакже ; тоже 	 adverb 
 austral 	 южный 	 adjective 
 autocar 	 автобус 	 transport 
 automatique 	 автоматический 	 adjective 
 automne 	 осень 	 nature 
 automobile 	 автомобиль ; машина 	 transport 
 autorité 	 авторитет 	 society 
 autorité 	 перевес 	 abstract 
 autour 	 кругом ; вокруг 	 adverb 
 autre 	 другой 	 adjective 
 autre 	 другой 	 adjective 
 autrefois 	 раз 	 adverb 
 avant 	 вперед 	 adverb 
 avant 	 вперёд 	 adverb 
 avant 	 передняя часть 	 abstract 
 avantage 	 преимущество 	 abstract 
 avec 	 с 	 preposition 
 avion 	 самолёт 	 object 
 avis 	 мнение ; суждение 	 communication 
 avoir 	 владеть 	 verb 
 avoir 	 иметь 	 verb 
 avoir besoin 	 требовать 	 verb 
 avril 	 апрель 	 time 
 aérodrome 	 аэродром ; аэропорт 	 city 
 bain 	 ванна 	 house 
 baiser 	 поцелуй 	 relations 
 baiser 	 целовать 	 verb 
 ballon 	 мяч 	 object 
 banque 	 банк 	 city 
 barbare 	 жестокий 	 adjective 
 barrière 	 ворота ; калитка 	 house 
 bas 	 книзу ; вниз 	 adverb 
 bas 	 низкий ; невысокий 	 adjective 
 bas 	 понизу 	 adjective 
 base 	 военная база 	 society 
 base 	 основа ; база 	 mathematics 
 base-ball 	 бейсбол 	 sports 
 bateau 	 лодка 	 object 
 beau 	 красивый 	 adjective 
 beaucoup 	 много 	 adjective 
 beaucoup 	 много 	 adjective 
 bec 	 клюв 	 anatomy 
 besoin 	 потребность 	 abstract 
 beurre 	 масло 	 food 
 bibliothèque 	 библиотека 	 city 
 bicyclette 	 велосипед 	 object 
 bien 	 добро 	 abstract 
 bien 	 хорошо 	 adverb 
 bientôt 	 скоро 	 adverb 
 bijou 	 драгоценность 	 object 
 billet 	 банкнот ; кредитный билет 	 business 
 billet 	 билет 	 object 
 biologie 	 биология 	 science 
 bizarre 	 странный 	 adjective 
 bière 	 пиво 	 food 
 blanc 	 белый 	 adjective 
 blesser 	 ранить 	 verb 
 blesser 	 ранить 	 verb 
 bleu 	 голубой 	 color 
 boire 	 пить 	 verb 
 bois 	 дерево 	 material 
 boisson 	 напиток 	 food 
 bon 	 хороший ; хорошая 	 adjective 
 bon 	 хороший ; хорошо 	 adjective 
 bord 	 кромка ; край 	 mathematics 
 botte 	 ботинок 	 clothes 
 bouche 	 уста ; рот 	 anatomy 
 bouger 	 двигать 	 verb 
 bouteille 	 бутылка 	 food 
 boutique 	 лавка ; магазин 	 business 
 bouton 	 кнопка 	 object 
 boîte 	 консерва 	 object 
 branche 	 ветвь 	 nature 
 bras 	 рука 	 anatomy 
 brique 	 кирпич 	 house 
 brosse 	 щётка 	 object 
 bruit 	 шум ; гам 	 society 
 brusque 	 обрывистый 	 adjective 
 bureau 	 офис ; контора ; канцелярия 	 business 
 bureau 	 письменный стол 	 house 
 but 	 гол 	 sports 
 bâtir 	 строить 	 verb 
 bâton 	 палка 	 object 
 bébé 	 ребёнок 	 family 
 cadre 	 рамка 	 object 
 café 	 кофе 	 food 
 cageot 	 коробка 	 object 
 caillou 	 скала 	 nature 
 calculateur 	 арифмометр ; счётчик 	 device 
 calme 	 тихий 	 adjective 
 campagne 	 кампания 	 abstract 
 caméra 	 камера 	 object 
 caméra 	 фотоаппарат 	 object 
 capable 	 способный 	 adjective 
 capacité 	 способность 	 abstract 
 capital 	 капитал 	 business 
 capitale 	 столица 	 society 
 car 	 ибо 	 conjunction 
 car 	 потому 	 conjunction 
 caractère 	 знак 	 linguistics 
 caractère 	 качество 	 abstract 
 caractère 	 характер 	 abstract 
 caractéristique 	 способность 	 abstract 
 carré 	 вторая степень 	 mathematics 
 carré 	 квадрат 	 mathematics 
 carré 	 квадратный 	 adjective 
 carte 	 карта 	 object 
 carte 	 карточка 	 object 
 cassé 	 разбитый 	 adjective 
 cause 	 причина 	 abstract 
 ce 	 тот 	 pronoun 
 ce soir 	 сегодня вечером 	 adverb 
 cellule 	 келья 	 society 
 cellule 	 ячейка ; клетка 	 anatomy 
 cent 	 сто 	 number 
 central 	 коммутатор 	 society 
 central 	 основной 	 adjective 
 central 	 центральный 	 adjective 
 centre 	 центр 	 mathematics 
 cependant 	 хотя 	 adverb 
 cercle 	 круг 	 mathematics 
 certain 	 верный 	 adjective 
 certificat 	 награда 	 society 
 cerveau 	 мозг 	 anatomy 
 ces 	 эти 	 pronoun 
 ces 	 эти 	 pronoun 
 cette 	 эта 	 pronoun 
 chacun 	 каждый 	 adjective 
 chacun 	 каждый 	 adjective 
 chaise 	 стул 	 house 
 chaleur 	 жара 	 medicine 
 chaleureux 	 тёплый 	 adjective 
 chambre à coucher 	 спальня 	 house 
 championnat 	 чемпионат 	 sports 
 chanceux 	 счастливый 	 adjective 
 changement 	 перемена 	 abstract 
 changer 	 изменить 	 verb 
 chanson 	 песня 	 art 
 chanter 	 петь 	 verb 
 chanteur 	 певец 	 profession 
 chapeau 	 шляпа 	 clothes 
 charbon 	 уголь 	 material 
 charge 	 заряд 	 nature 
 charger 	 зарядить 	 verb 
 chat 	 кот ; кошка 	 animal 
 chaud 	 горячий 	 adjective 
 chauffer 	 нагревать 	 verb 
 chaussette 	 носок ; гольфы = чулки до колен 	 clothes 
 chaussure 	 ботинок 	 clothes 
 chaîne 	 цепь 	 object 
 chef 	 лидер 	 society 
 chef 	 шеф 	 society 
 chemin 	 дорога ; путь 	 transport 
 chemise 	 рубашка 	 clothes 
 cheval 	 лошадь ; конь 	 animal 
 cheveux 	 волос ; ворс 	 anatomy 
 cheveux 	 волосы 	 anatomy 
 chien 	 собака 	 animal 
 chimie 	 химия 	 science 
 chimique 	 химикат 	 material 
 chimique 	 химический 	 adjective 
 chinois 	 китайский язык 	 language 
 choc 	 шок 	 abstract 
 chocolat 	 шоколад 	 food 
 choisir 	 выбрать 	 verb 
 choquer 	 шокировать 	 verb 
 chose 	 предмет ; вещь 	 object 
 chute 	 падение 	 abstract 
 château 	 замок ; кремль 	 city 
 châtiment 	 наказание 	 society 
 chèque 	 чек 	 business 
 chèvre 	 козёл ; коза 	 animal 
 chérie 	 дорогой ; дорогая 	 relations 
 chômeur 	 безработный 	 adjective 
 ciel 	 небо 	 nature 
 cinq 	 пять 	 number 
 cinquante 	 пятьдесят 	 number 
 cinquième 	 пятый 	 number 
 cinéma 	 кино ; кинотеатр 	 city 
 cirer 	 глянцевать 	 verb 
 ciseaux 	 ножницы 	 object 
 citer 	 цитировать 	 verb 
 clair 	 светлый 	 adjective 
 clair 	 явный 	 adjective 
 clairsemé 	 редкий 	 adjective 
 clandestin 	 секретный 	 adjective 
 classe 	 ранг ; класс 	 art 
 classer 	 сортировать 	 verb 
 clayette 	 полка 	 house 
 clientèle 	 практика 	 art 
 cloche 	 колокол 	 object 
 clore 	 закрывать 	 verb 
 clou 	 гвоздь 	 object 
 club 	 клуб 	 society 
 clé 	 ключ 	 house 
 coeur 	 сердце 	 anatomy 
 coffre 	 ларь 	 object 
 coffre 	 сейф 	 object 
 col 	 воротник ; туфля 	 clothes 
 collant 	 клейкий 	 adjective 
 colle 	 клей 	 material 
 collection 	 комплект 	 sports 
 coller 	 клеить 	 verb 
 colline 	 взгорье ; холм 	 nature 
 comme 	 как 	 adverb 
 commercer 	 торговать 	 verb 
 commettant 	 покупатель ; заказчик ; клиент 	 business 
 commun 	 обычный 	 adjective 
 commun 	 совместный 	 adjective 
 communauté 	 община 	 society 
 communication 	 звонок ; зов ; оклик 	 communication 
 communiqué 	 провозглашение ; объявление 	 communication 
 compagnie 	 общество 	 society 
 comparer 	 сравнивать 	 verb 
 complet 	 весь ; целый 	 adjective 
 complet 	 комплектный 	 adjective 
 composant additionnel 	 дополнение 	 abstract 
 comprendre 	 включить 	 verb 
 comprendre 	 заключать в себе ; охватывать 	 verb 
 comprendre 	 понимать 	 verb 
 compte 	 счёт 	 business 
 compter 	 высчитать 	 verb 
 comédien 	 актёр 	 profession 
 concert 	 концерт 	 art 
 concevoir 	 предложить 	 verb 
 concurrence 	 конкуренция ; соревнование 	 business 
 concurrence 	 соревнование ; состязание 	 society 
 concurrent 	 соперник 	 business 
 condition 	 состояние 	 abstract 
 conduire 	 водить 	 verb 
 conduire 	 завести 	 verb 
 conduite 	 поведения 	 abstract 
 confrontation 	 сравнение 	 abstract 
 congé 	 отпуск 	 society 
 connaissance 	 знание 	 education 
 connecteur 	 подключение 	 abstract 
 conscient 	 сознающий 	 adjective 
 conseil 	 комитет ; комиссия 	 society 
 conseil 	 совет 	 communication 
 conseil 	 совет 	 society 
 considérer 	 считать 	 verb 
 construction 	 стройка 	 house 
 conséquence 	 последствие 	 medicine 
 contenir 	 ограничивать 	 verb 
 continuer 	 продолжать 	 verb 
 contraire 	 противоположность 	 abstract 
 contrat 	 контракт 	 business 
 contre 	 на 	 preposition 
 contre 	 против 	 preposition 
 contribution 	 налогообложение ; налог 	 business 
 contrôler 	 контролировать 	 verb 
 copain 	 друг 	 family 
 copeau 	 кусок 	 object 
 copie 	 копия 	 object 
 copier 	 копировать 	 verb 
 copine 	 девочка ; поклонница 	 family 
 corde 	 канат 	 transport 
 correct 	 правильный 	 adjective 
 costume 	 одежда 	 clothes 
 coton 	 хлопок 	 material 
 coton 	 хлопок 	 material 
 cou 	 шея ; горло 	 anatomy 
 coudre 	 шить 	 verb 
 couleur 	 краска 	 art 
 coup 	 удар 	 abstract 
 coup 	 удар 	 abstract 
 coup de pied 	 лягнуть 	 verb 
 coup de pied 	 пинок 	 abstract 
 coupe 	 кубок 	 object 
 coupe 	 чашка 	 food 
 couper 	 резать 	 verb 
 couple 	 пара 	 number 
 coupure 	 срез 	 abstract 
 courant 	 обычный 	 adjective 
 courant 	 поток 	 nature 
 courant 	 струя 	 nature 
 courant 	 течение ; поток 	 nature 
 courbure 	 искривление ; кривизна ; изгиб 	 mathematics 
 courir 	 бежать 	 verb 
 cours 	 курс 	 education 
 cours 	 расценка ; тариф 	 business 
 court 	 короткий 	 adjective 
 couteau 	 нож 	 food 
 couvercle 	 крышка 	 object 
 craindre 	 бояться 	 verb 
 cravate 	 галстук 	 clothes 
 crayon 	 карандаш 	 object 
 crevé 	 мёртвый 	 adjective 
 cri 	 крик ; возглас 	 communication 
 critère 	 критерий 	 communication 
 croire 	 верить 	 verb 
 croître 	 расти 	 verb 
 cuiller 	 ложка 	 food 
 cuir 	 кожа 	 material 
 cuisine 	 кухня 	 house 
 cuisiner 	 варить 	 verb 
 cuisiner 	 готовить 	 verb 
 cuisinier 	 повар ; кухарка 	 profession 
 culture 	 культура 	 society 
 côté 	 сторона 	 mathematics 
 danger 	 опасность 	 abstract 
 dangereux 	 опасный 	 adjective 
 dans 	 в 	 preposition 
 dans 	 внутрь ; в ; до 	 adverb 
 danser 	 танцевать 	 verb 
 date 	 дата ; число 	 time 
 de 	 о 	 preposition 
 de qui 	 чей 	 pronoun 
 degré 	 степень 	 linguistics 
 dehors 	 снаружи 	 adverb 
 demain 	 завтра 	 adverb 
 demain 	 завтрашний день ; завтра 	 time 
 demande 	 просьба 	 communication 
 demander 	 спрашивать 	 verb 
 dense 	 густой 	 adjective 
 dent 	 зуб 	 anatomy 
 depuis 	 с 	 preposition 
 dernier 	 наконец 	 adverb 
 dernier 	 прошлое 	 time 
 dernier 	 прошлый 	 adjective 
 derrière 	 сзади ; позади 	 adverb 
 dessiner 	 рисовать 	 verb 
 dessus 	 над 	 adverb 
 destination 	 цель 	 abstract 
 destruction 	 разрушение 	 abstract 
 deuxième 	 второй 	 adjective 
 devant 	 впереди 	 adverb 
 devenir 	 стать 	 verb 
 devoir 	 повинность 	 abstract 
 dictionnaire 	 словарь 	 linguistics 
 difficulté 	 трудность 	 abstract 
 différence 	 разница 	 abstract 
 différent 	 другой 	 adjective 
 différent 	 непохожий 	 adjective 
 dimanche 	 воскресенье 	 time 
 dire 	 говорить 	 verb 
 directement 	 прямо 	 adverb 
 directeur 	 директор 	 profession 
 direction 	 направление 	 mathematics 
 direction 	 руководство ; предводительство 	 society 
 direction 	 управление ; менеджмент 	 business 
 discipline 	 дисциплина 	 linguistics 
 discussion 	 спор 	 mathematics 
 discuter 	 дискутировать 	 verb 
 disponible 	 доступный 	 adjective 
 distance 	 расстояние 	 mathematics 
 distinctement 	 ясно 	 adverb 
 divers 	 различный 	 adjective 
 diversité 	 разнообразность ; разнообразие ; пестрота 	 art 
 divertissement 	 веселье ; развлечение ; забава ; увеселение 	 art 
 diviser 	 разделить 	 verb 
 dix 	 десять 	 number 
 dix-huit 	 восемнадцать 	 number 
 dix-neuf 	 девятнадцать 	 number 
 docteur 	 врач ; доктор 	 profession 
 doigt 	 палец 	 anatomy 
 domination 	 господство 	 society 
 donc 	 поэтому 	 adverb 
 donner 	 давать 	 verb 
 données 	 сведениe ; информация 	 communication 
 dos 	 большой чан ; спина 	 anatomy 
 douceur 	 сладость 	 food 
 douche 	 душ 	 house 
 douleur 	 боль 	 medicine 
 doute 	 сомнение ; неуверенность 	 communication 
 douter 	 сомневаться 	 verb 
 doux 	 мягкий 	 adjective 
 douzième 	 двенадцатый 	 number 
 drapeau 	 флаг 	 object 
 droit 	 право 	 society 
 droit 	 правый 	 adjective 
 droit 	 прямой 	 adjective 
 dur 	 трудный 	 adjective 
 durer 	 обойтись 	 verb 
 d'abord 	 сначала 	 adverb 
 d'or 	 золотой ; золотистий 	 color 
 début 	 старт 	 abstract 
 débuter 	 начинаться 	 verb 
 décembre 	 декабрь 	 time 
 déces 	 смерть 	 abstract 
 déchets 	 отходы 	 material 
 décider 	 решить 	 verb 
 décision 	 заключение ; решение 	 communication 
 déclaration 	 утверждения 	 communication 
 découverte 	 находка 	 society 
 découvrir 	 узнавать 	 verb 
 décrire 	 описать 	 verb 
 défense 	 оборона 	 abstract 
 définitif 	 конечный 	 adjective 
 dégager 	 освободить 	 verb 
 déjeuner 	 завтрак 	 food 
 déjeuner 	 обед 	 food 
 déjà 	 уже 	 adverb 
 délicat 	 деликатный ; щекотливый 	 adjective 
 délit 	 преступление 	 society 
 département 	 отделение 	 society 
 dépasser 	 преодолеть 	 verb 
 dépression 	 область низкого давления 	 nature 
 dépôt 	 гараж 	 transport 
 dérapage 	 буксовка 	 abstract 
 désirer 	 пожелать ; хотеть 	 verb 
 détail 	 подробность ; деталь 	 logistics 
 déterminé 	 данный ; установленный 	 adjective 
 déterminé 	 установленный 	 adjective 
 développer 	 развиваться 	 verb 
 eau 	 вода 	 material 
 elle 	 она 	 pronoun 
 embaumer 	 пахнуть 	 verb 
 emplir 	 наполнить 	 verb 
 employé 	 рабочий 	 profession 
 empoisonner 	 отравить 	 verb 
 empêcher 	 предотвратить 	 verb 
 en réalité 	 всерьёз 	 adverb 
 encore 	 опять 	 adverb 
 encore 	 постоянно 	 adverb 
 encre 	 чернила 	 material 
 endommager 	 повредить 	 verb 
 endurer 	 терпеть 	 verb 
 enfant 	 юноша ; паренёк 	 family 
 ennuyeux 	 нудный 	 adjective 
 enregistrer 	 записать 	 verb 
 enrouler 	 намотать 	 verb 
 enseignement 	 образование 	 education 
 enseigner 	 обучать 	 verb 
 ensemble 	 вместе 	 adverb 
 ensuite 	 потом 	 adverb 
 entendre 	 замышлять 	 verb 
 entendre 	 слышать 	 verb 
 entier 	 весь ; целый 	 adjective 
 entraînement 	 обучение 	 abstract 
 entre 	 между 	 adverb 
 entre 	 среди 	 preposition 
 entrer 	 вступить 	 verb 
 entrée 	 прихожая ; вестибюль ; передняя 	 house 
 enveloppe 	 конверт 	 object 
 envelopper 	 закрыть 	 verb 
 environ 	 приблизительно 	 adverb 
 erreur 	 ошибка 	 communication 
 escarpé 	 крутой 	 adjective 
 espace 	 космос 	 mathematics 
 espagnol 	 испанский язык 	 language 
 espoir 	 надежда 	 relations 
 esprit 	 ум, мысль 	 mathematics 
 espèce 	 тип 	 abstract 
 espérer 	 надеяться 	 verb 
 essai 	 надсада 	 abstract 
 essayer 	 испытать 	 verb 
 essayer 	 попробовать 	 verb 
 essence 	 суть 	 abstract 
 essuyer 	 высоцхнуть 	 verb 
 est 	 восточный 	 adjective 
 est 	 выход 	 logistics 
 estimer 	 оценить 	 verb 
 estomac 	 желудок 	 anatomy 
 et 	 и 	 conjunction 
 exactement 	 точно 	 adverb 
 exactement 	 точно 	 adverb 
 examen 	 экзамен 	 communication 
 excellent 	 замечательный 	 adjective 
 exemple 	 пример 	 communication 
 exercer 	 проводить ; практиковать 	 verb 
 existence 	 существование 	 society 
 exister 	 быть 	 verb 
 expert 	 опытный 	 adjective 
 expert 	 специалист 	 profession 
 expliquer 	 объяснять 	 verb 
 express 	 экспресс 	 transport 
 expérience 	 опыт 	 society 
 extérieur 	 наружность ; внешность 	 mathematics 
 facile 	 лёгкий 	 adjective 
 facture 	 фактура ; счёт 	 business 
 facturer 	 составлять фактуру ; засчитывать 	 verb 
 facultatif 	 любой 	 adjective 
 faculté 	 сила 	 abstract 
 faire 	 творить 	 verb 
 faire face 	 справиться 	 verb 
 fait 	 факт 	 abstract 
 famille 	 семья 	 family 
 famille 	 семья 	 family 
 fatigué 	 усталый 	 adjective 
 faux 	 ошибочный 	 adjective 
 faux 	 фальшивый 	 adjective 
 femme 	 жена 	 family 
 femme 	 женщина 	 family 
 femme 	 женщина 	 society 
 fenêtre 	 окно 	 house 
 fer 	 железо 	 material 
 ferme 	 твёрдый ; жёсткий 	 adjective 
 ferme 	 ферма 	 nature 
 fermer 	 замкнуть 	 verb 
 fermé 	 закрытый 	 adjective 
 feu 	 огонь ; пожар 	 nature 
 feuille 	 листва 	 nature 
 feuilleton 	 сериал ; многосерийный фильм 	 abstract 
 fil 	 провод 	 object 
 filet 	 сплетение 	 material 
 fille 	 дочь 	 family 
 fils 	 сын 	 family 
 fin 	 конец 	 abstract 
 financier 	 финансовый 	 adjective 
 fissure 	 брешь 	 abstract 
 flamme 	 огонь ; пламя 	 nature 
 fleur 	 цветок 	 nature 
 fleuve 	 река 	 nature 
 foi 	 вероисповедание 	 society 
 fonction 	 намерение ; цель 	 linguistics 
 fonction 	 функция 	 mathematics 
 fonctionnaire 	 чиновник 	 profession 
 fonctionnement 	 действие 	 mathematics 
 foncé 	 тёмный 	 adjective 
 fondamental 	 основной 	 adjective 
 football 	 футбол 	 sports 
 force 	 сила 	 abstract 
 force 	 сила 	 abstract 
 formation 	 образование 	 education 
 forme 	 конфигурация, форма 	 art 
 former 	 дрессировать 	 verb 
 formidable 	 замечательный 	 adjective 
 formuler 	 выразить 	 verb 
 fort 	 громкий 	 adjective 
 forêt 	 лес 	 nature 
 fouet 	 бич 	 object 
 four 	 печь 	 device 
 fourchette 	 вилка 	 food 
 fourmi 	 муравей 	 animal 
 fournir 	 предоставить 	 verb 
 foyer 	 жилище ; дом 	 house 
 fragile 	 хрупкий 	 adjective 
 frais 	 расход 	 society 
 frais 	 свежий 	 adjective 
 français 	 францьзскый язык 	 language 
 frisson 	 дрожание 	 abstract 
 froid 	 холод 	 nature 
 froid 	 холодный 	 adjective 
 fromage 	 сыр 	 food 
 front 	 лоб ; чело 	 anatomy 
 fructueux 	 успешный 	 adjective 
 fruit 	 фрукты 	 food 
 fruit sec 	 орех 	 food 
 frère 	 брат 	 family 
 fréquent 	 частый 	 adjective 
 fumer 	 коптить 	 verb 
 fumée 	 дым 	 nature 
 fusil 	 оружие 	 object 
 futur 	 будущее 	 time 
 futur 	 будущий 	 adjective 
 fâché 	 разозлённый 	 adjective 
 féminin 	 женский 	 adjective 
 février 	 февраль 	 time 
 gagner 	 выиграть ; победить 	 verb 
 gain 	 прибыль ; нажива 	 business 
 garçon 	 мальчик ; парень 	 family 
 gauche 	 левый 	 adjective 
 genou 	 колено 	 anatomy 
 gens 	 люди ; народ 	 society 
 gentil 	 красивый ; хороший 	 adjective 
 gentil 	 любезный 	 adjective 
 glace 	 лёд 	 material 
 glace 	 лёд 	 nature 
 glapir 	 кричать 	 verb 
 golf 	 гольф 	 travelling 
 gorge 	 глотка ; зев ; горло 	 anatomy 
 goutte 	 капля 	 object 
 gouvernement 	 правительство 	 society 
 gouverner 	 править 	 verb 
 goût 	 poпробовать 	 verb 
 goût 	 вкус 	 nature 
 grain 	 зерно 	 material 
 graine 	 зерно ; семя 	 food 
 grand 	 большой ; великий 	 adjective 
 grand 	 высокий 	 adjective 
