# English-Esperanto translations created from the Universal dictionary at 2011-05-28T05:41:05-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 aprilo 	 time 
 bag ; handbag ; pocketbook ; purse 	 mansaketo 	 clothes 
 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 valizo 	 clothes 
 balance 	 ekvilibro 	 physics 
 ball 	 pilko 	 object 
 bank 	 bordo 	 nature 
 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 barbara 	 adjective 
 base ; base of operations 	 bazo 	 society 
 baseball ; baseball game 	 basbalo 	 sports 
 basic 	 baza 	 adjective 
 basket ; handbasket 	 korbo 	 object 
 bath 	 bano 	 house 
 bathroom ; bath 	 bancxambro 	 house 
 be 	 esti 	 verb 
 be ; live 	 vivi 	 verb 
 beach 	 strando 	 nature 
 beak ; bill ; neb ; nib ; pecker 	 beko 	 anatomy 
 bear 	 porti 	 verb 
 bear 	 urso 	 animal 
 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 venki 	 verb 
 beautiful 	 bela 	 adjective 
 because 	 ĉar 	 conjunction 
 become ; go ; get 	 iĝi 	 verb 
 bed 	 lito 	 house 
 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 dormcxambro 	 house 
 bee 	 abelo 	 animal 
 beer 	 biero 	 food 
 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 komenco 	 abstract 
 beginning ; origin ; root ; rootage ; source 	 origino 	 transport 
 behave ; acquit ; bear ; deport ; conduct ; comport ; carry 	 konduti 	 verb 
 behind 	 malantaux 	 adverb 
 being ; beingness ; existence 	 ekzistado 	 society 
 believe 	 kredi 	 verb 
 bell 	 sonorilo 	 object 
 bend ; curve 	 sinuo 	 transport 
 beside 	 apud 	 preposition 
 besides ; too ; also ; likewise ; as well 	 ankaŭ 	 adverb 
 bespeak ; betoken ; indicate ; point ; signal 	 indiki 	 verb 
 better ; improve ; amend ; ameliorate ; meliorate 	 plibonigi 	 verb 
 beverage ; drink ; drinkable ; potable 	 trinkajxo 	 food 
 bicycle ; bike ; wheel ; cycle 	 biciklo 	 object 
 bill ; account ; invoice 	 fakturo 	 business 
 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 monbileto 	 business 
 biology ; biological science 	 biologio 	 science 
 bird 	 birdo 	 animal 
 birthday 	 naskiĝtago 	 family 
 bit ; chip ; flake ; fleck ; scrap 	 peco 	 object 
 bite ; seize with teeth 	 mordi 	 verb 
 bitter 	 amara 	 adjective 
 black 	 nigra 	 adjective 
 blade 	 klingo 	 object 
 blessing ; approval ; approving 	 aprobo 	 communication 
 blood 	 sango 	 anatomy 
 blow 	 frapo 	 abstract 
 blue ; bluish ; blueish 	 blua 	 color 
 blueprint ; design ; pattern 	 desegno 	 object 
 boat 	 boato 	 object 
 bone ; os 	 osto 	 anatomy 
 book ; volume 	 libro 	 object 
 boot 	 boto 	 clothes 
 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 teda 	 adjective 
 both 	 ambaux 	 adjective 
 bottle 	 botelo 	 food 
 box 	 kesteto 	 object 
 boyfriend ; fellow ; beau ; swain ; young man 	 amisto 	 family 
 brain ; encephalon 	 cerbo 	 anatomy 
 branch 	 brancxo 	 nature 
 bread ; breadstuff ; staff of life 	 pano 	 food 
 break 	 rompi 	 verb 
 breakfast 	 matenmangxo 	 food 
 breast ; chest 	 brusto 	 anatomy 
 brick 	 briko 	 house 
 bridge ; span 	 ponto 	 object 
 bright ; brilliant ; vivid 	 hela 	 adjective 
 bring ; convey ; take 	 alporti 	 verb 
 broken 	 rompita 	 adjective 
 brother ; blood brother 	 frato 	 family 
 brow ; forehead 	 frunto 	 anatomy 
 brown ; brownish ; chocolate-brown ; dark-brown 	 bruna 	 color 
 brush 	 broso 	 object 
 brusque ; brusk ; curt ; short 	 bruska 	 adjective 
 building ; edifice 	 domo 	 city 
 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 aŭtobuso 	 transport 
 businessman ; man of affairs 	 negocisto 	 profession 
 butter 	 butero 	 food 
 buy ; purchase 	 aĉeti 	 verb 
 by and large ; generally ; more often than not ; mostly 	 ĝenerale 	 adverb 
 cake 	 kuko 	 food 
 calculator ; reckoner ; figurer ; estimator ; computer 	 kalkulilo 	 device 
 calendar month ; month 	 monato 	 time 
 call ; telephone ; call up ; phone ; ring 	 alvoki 	 verb 
 camera ; photographic camera 	 fotoaparato 	 object 
 can ; tin ; tin can 	 ladskatolo 	 object 
 capital 	 ĉefurbo 	 society 
 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 majusklo 	 linguistics 
 capital ; working capital 	 kapitalo 	 business 
 car ; auto ; automobile ; machine ; motorcar 	 aŭtomobilo 	 transport 
 carbohydrate ; saccharide ; sugar 	 karbonhidrato 	 food 
 card 	 karto 	 object 
 cardinal ; central ; fundamental ; key ; primal 	 kardinala 	 adjective 
 care ; attention ; aid ; tending 	 flegado 	 abstract 
 castle 	 kastelo 	 city 
 cat ; true cat 	 kato 	 animal 
 catch ; grab ; take hold of 	 kapti 	 verb 
 cause 	 kauxzo 	 abstract 
 cell 	 ĉelo 	 anatomy 
 cell ; jail cell ; prison cell 	 cxelo 	 society 
 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 poŝtelefono 	 device 
 center ; centre ; middle ; heart ; eye 	 centro 	 mathematics 
 center ; centre ; midpoint 	 centro 	 mathematics 
 central 	 centra 	 adjective 
 central ; telephone exchange ; exchange 	 telefoncentralo 	 society 
 century 	 jarcento 	 time 
 certain ; sure 	 certa 	 adjective 
 chain 	 ĉeno 	 object 
 chair 	 seĝo 	 house 
 championship ; title 	 titolo 	 sports 
 change ; alter ; modify 	 ŝanĝi 	 verb 
 change ; alteration ; modification 	 ŝanĝo 	 abstract 
 character ; grapheme ; graphic symbol 	 karaktro 	 linguistics 
 charge 	 depago 	 business 
 charge ; accuse 	 akuzi 	 verb 
 charge ; complaint 	 akuzo 	 society 
 charge ; electric charge 	 sxargajxo 	 nature 
 cheap ; inexpensive 	 malmultekosta 	 adjective 
 check ; bank check ; cheque 	 cxeko 	 business 
 cheese 	 fromaĝo 	 food 
 chemical ; chemic 	 kemia 	 adjective 
 chemical ; chemical substance 	 kemiaĵo 	 material 
 chemical element ; element 	 kemia elemento 	 material 
 chemistry ; chemical science 	 kemio 	 science 
 chest 	 kesto 	 object 
 chief ; main ; primary ; principal ; master 	 ĉefa 	 adjective 
 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 infano 	 family 
 chin ; mentum 	 mentono 	 anatomy 
 chocolate 	 ĉokolado 	 food 
 choice ; selection ; option ; pick 	 elekto 	 abstract 
 choose ; take ; select ; pick out 	 elekti 	 verb 
 church ; church building 	 eklezio 	 city 
 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 kino 	 city 
 circle 	 rondo 	 mathematics 
 city ; metropolis ; urban center 	 metropolo 	 society 
 class ; form ; grade ; course 	 klaso 	 art 
 classify ; class ; sort ; assort ; sort out ; separate 	 klasi 	 verb 
 clean 	 pura 	 adjective 
 clean ; make clean 	 purigi 	 verb 
 clear 	 hela 	 adjective 
 clock 	 horlogxo 	 device 
 close ; shut 	 fermi 	 verb 
 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 vestoj 	 clothes 
 cloud 	 nubo 	 nature 
 club 	 klabo 	 object 
 club ; social club ; society ; guild ; gild ; lodge ; order 	 gildo 	 society 
 coal 	 karbo 	 material 
 coat 	 palto 	 clothes 
 coffee ; java 	 kafo 	 food 
 cognition ; knowledge ; noesis 	 kognicio 	 education 
 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 bobeno 	 object 
 cold 	 malvarma 	 adjective 
 cold ; common cold 	 malvarmumo 	 medicine 
 coldness ; cold ; low temperature ; frigidity ; frigidness 	 malvarmo 	 nature 
 collar ; neckband 	 kolumo 	 clothes 
 color ; colour ; coloring ; colouring 	 koloro 	 art 
 coloring material ; colouring material ; color ; colour 	 koloroj 	 art 
 come ; come up 	 veni 	 verb 
 committee ; commission 	 komisiono 	 society 
 common ; mutual 	 komuna 	 adjective 
 community 	 komunumo 	 society 
 company ; companionship ; fellowship ; society 	 grupo 	 society 
 compare 	 kompari 	 verb 
 comparison ; comparing 	 komparo 	 abstract 
 competition 	 konkurenco 	 business 
 complete ; consummate 	 kompleta 	 adjective 
 complete ; finish 	 fini 	 verb 
 complimentary ; costless ; free ; gratis ; gratuitous 	 senpaga 	 adjective 
 component ; constituent ; element ; factor ; ingredient 	 elemento 	 mathematics 
 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 komputero 	 device 
 concert 	 koncerto 	 art 
 concluding ; final ; last ; terminal 	 fina 	 adjective 
 condition ; status 	 kondiĉo 	 abstract 
 confront ; face up ; face 	 defii 	 verb 
 conscious ; witting 	 konscia 	 adjective 
 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 konsekvenco 	 medicine 
 construct ; build ; make 	 konstrui 	 verb 
 contend ; fight ; struggle 	 batali 	 verb 
 contest ; competition 	 konkurado 	 society 
 continue ; go on ; proceed ; go along ; keep 	 dauxrigi 	 verb 
 contract 	 kontrakto 	 business 
 control ; command 	 komandi 	 verb 
 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 disputo 	 mathematics 
 cook 	 kuiradi 	 verb 
 cook 	 kuiristo 	 profession 
 cook ; fix ; ready ; make ; prepare 	 kuiri 	 verb 
 copy 	 kopio 	 object 
 copy ; re-create 	 kopii 	 verb 
 correct ; right 	 gxusta 	 adjective 
 cost 	 kosto 	 society 
 cotton ; cotton fiber ; cotton wool 	 kotono 	 material 
 cough 	 tusi 	 verb 
 cough ; coughing 	 tuso 	 medicine 
 council 	 koncilio 	 society 
 country ; state ; land 	 ruro 	 society 
 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 paro 	 number 
 course ; course of study ; course of instruction ; class 	 kurso 	 education 
 court ; tribunal ; judicature 	 tribunalo 	 society 
 cow ; moo-cow 	 bovino 	 animal 
 crack ; cleft ; crevice ; fissure ; scissure 	 fendeto 	 abstract 
 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 krimo 	 society 
 crude ; rough 	 kruda 	 adjective 
 crush 	 pisti 	 verb 
 cry ; outcry ; call ; yell ; shout ; vociferation 	 voko 	 communication 
 cry ; weep 	 plori 	 verb 
 culture ; civilization ; civilisation 	 kulturo 	 society 
 cup 	 taso 	 food 
 cup ; loving cup 	 pokalo 	 object 
 cupboard ; closet 	 sxranko 	 house 
 current 	 kuranta 	 adjective 
 current ; electric current 	 fluo 	 nature 
 current ; stream 	 fluo 	 nature 
 curtain ; drape ; drapery ; mantle ; pall 	 kurteno 	 house 
 curvature ; curve 	 kurbo 	 mathematics 
 curve ; curved shape 	 kurbo 	 art 
 customer ; client 	 kliento 	 business 
 cut 	 trancxi 	 verb 
 damage 	 difekti 	 verb 
 damage ; harm ; impairment 	 damagxo 	 transport 
 dance ; trip the light fantastic ; trip the light fantastic toe 	 danci 	 verb 
 danger 	 danĝero 	 abstract 
 dangerous ; unsafe 	 danĝera 	 adjective 
 dark 	 tenebra 	 adjective 
 data ; information 	 datumoj 	 communication 
 date ; appointment ; engagement 	 rendevuo 	 relations 
 date ; day of the month 	 dato 	 time 
 daughter ; girl 	 filino 	 family 
 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 tago 	 nature 
 daze ; shock ; stupor 	 ŝoko 	 abstract 
 dead 	 morta 	 adjective 
 death 	 morto 	 nature 
 decide ; make up one's mind ; determine 	 decidi 	 verb 
 decision ; determination ; conclusion 	 decido 	 communication 
 decoration ; ornament ; ornamentation 	 dekoro 	 object 
 defense ; defence ; defense force ; defence force 	 defendo 	 abstract 
 degree 	 grado 	 linguistics 
 degree ; grade ; level 	 grado 	 linguistics 
 delicate 	 delikata 	 adjective 
 delicate ; fragile ; frail 	 fragila 	 adjective 
 deliver 	 liveri 	 verb 
 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 konduto 	 abstract 
 democracy ; republic ; commonwealth 	 respubliko 	 society 
 department ; section 	 sekcio 	 society 
 dependable ; good ; safe ; secure 	 sekura 	 adjective 
 deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry 	 lamentinda 	 adjective 
 depository financial institution ; bank ; banking concern ; banking company 	 banko 	 city 
 describe ; depict ; draw 	 priskribi 	 verb 
 design ; plan 	 plani 	 verb 
 desire ; want 	 voli 	 verb 
 desk 	 skribotablo 	 house 
 despite 	 malgraŭ 	 preposition 
 destruction ; devastation 	 detruo 	 abstract 
 detail ; particular ; item 	 detalo 	 logistics 
 detect ; observe ; find ; discover ; notice 	 trovi 	 verb 
 develop 	 evolucii 	 verb 
 development ; evolution 	 evoluo 	 nature 
 deviation ; divergence ; departure ; difference 	 devio 	 mathematics 
 dictionary ; lexicon 	 vortaro 	 linguistics 
 die ; decease ; perish ; go ; exit ; pass away ; expire ; pass ; kick the bucket ; cash in one's chips ; buy the farm ; conk ; give-up the ghost ; drop dead ; pop off ; choke ; croak ; snuff it 	 morti 	 verb 
 difference 	 diferenco 	 abstract 
 different 	 alia 	 adjective 
 difficult ; hard 	 malfacila 	 adjective 
 difficulty 	 malfacileco 	 abstract 
 direction 	 direkto 	 mathematics 
 directly ; straight ; direct 	 rekte 	 adverb 
 director ; manager ; managing director 	 direktoro 	 profession 
 dirty ; dingy ; muddied ; muddy 	 malpura 	 adjective 
 dirty ; soiled ; unclean 	 malpura 	 adjective 
 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 disciplino 	 linguistics 
 discussion ; give-and-take ; word 	 diskuto 	 communication 
 disease 	 malsano 	 medicine 
 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 maldungi 	 verb 
 distance 	 distanco 	 mathematics 
 diverse ; various 	 diversa 	 adjective 
 diverseness ; diversity ; multifariousness ; variety 	 diverseco 	 art 
 divide ; split ; split up ; separate ; dissever ; carve up 	 fendi 	 verb 
 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 divido 	 mathematics 
 doctor ; doc ; physician ; MD ; Dr. ; medico 	 doktoro 	 profession 
 dog ; domestic dog ; Canis familiaris 	 hundo 	 animal 
 door 	 pordo 	 house 
 doubt 	 dubi 	 verb 
 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 dubo 	 communication 
 down 	 suben 	 adjective 
 down ; downwards ; downward ; downwardly 	 malsupren 	 adverb 
 drawer 	 tirkesto 	 house 
 drink ; imbibe 	 trinki 	 verb 
 drive 	 stiri 	 verb 
 drop ; drib ; driblet 	 guto 	 object 
 dry 	 seka 	 adjective 
 dry ; dry out 	 sekigi 	 verb 
 dry ; dry out 	 sekigi 	 verb 
 during 	 dum 	 preposition 
 dust 	 polvo 	 material 
 duty 	 devo 	 abstract 
 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 domo 	 house 
 each 	 cxiu 	 adjective 
 ear 	 orelo 	 anatomy 
 earlier ; before 	 antaux 	 adverb 
 early 	 frue 	 adjective 
 early on ; early 	 frue 	 adverb 
 earth ; ground 	 grundo 	 material 
 east ; due east ; eastward ; E 	 oriento 	 logistics 
 easy 	 facila 	 adjective 
 eat 	 manĝi 	 verb 
 economic 	 ekonomia 	 adjective 
 economic ; economical 	 ekonomia 	 adjective 
 economy ; economic system 	 ekonomio 	 business 
 edge ; border 	 eĝo 	 mathematics 
 education 	 edukado 	 society 
 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 instruado 	 education 
 effort ; elbow grease ; exertion ; travail ; sweat 	 peno 	 abstract 
 egg 	 ovo 	 food 
 eight ; 8 ; viii 	 ok 	 number 
 eighth ; 8th 	 oka 	 number 
 eighty ; 80 ; lxxx ; fourscore 	 okdek 	 number 
 election 	 elekto 	 mathematics 
 electric ; electrical 	 elektra 	 adjective 
 elementary ; simple ; uncomplicated ; unproblematic 	 simpla 	 adjective 
 elephant 	 elefanto 	 animal 
 elevator ; lift 	 lifto 	 device 
 encourage 	 kuraĝigi 	 verb 
 end ; stop ; finish ; terminate ; cease 	 fini 	 verb 
 end ; terminal 	 fino 	 abstract 
 energy ; free energy 	 energio 	 nature 
 engine 	 motoro 	 device 
 engineering ; engineering science ; applied science ; technology 	 inĝenierarto 	 abstract 
 enhance ; heighten ; raise 	 levi 	 verb 
 enjoy ; bask ; relish ; savor ; savour 	 ĝui 	 verb 
 enough ; plenty 	 suficxe 	 adverb 
 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 eniri 	 verb 
 entertainment ; amusement 	 distraĵo 	 art 
 entirely ; exclusively ; solely ; alone ; only 	 sole 	 adverb 
 entitle ; title 	 titoli 	 verb 
 envelope 	 koverto 	 object 
 environment 	 medio 	 nature 
 environment ; environs ; surroundings ; surround 	 cxirkauxajxo 	 nature 
 equal 	 egala 	 adjective 
 equally ; as ; every bit 	 kiel 	 adverb 
 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 estinta 	 adjective 
 especial ; exceptional ; particular ; special 	 speciala 	 adjective 
 establish ; found ; plant ; constitute ; institute 	 fondi 	 verb 
 estimate ; gauge ; approximate ; guess ; judge 	 taksi 	 verb 
 estrus ; oestrus ; heat ; rut 	 seksardo 	 nature 
 even 	 ecx 	 adverb 
 even 	 para 	 adjective 
 even ; fifty-fifty 	 ebena 	 adjective 
 evening ; eve ; even ; eventide 	 vespero 	 time 
 event 	 evento 	 abstract 
 event ; case 	 okazo 	 abstract 
 every 	 cxiu 	 adjective 
 everything 	 cxio 	 pronoun 
 examination ; exam ; test 	 ekzameno 	 communication 
 example ; illustration ; instance ; representative 	 ekzemplo 	 communication 
 exceed ; transcend ; overstep ; pass ; go past ; top 	 superi 	 verb 
 excellent ; first-class ; fantabulous ; splendid 	 bonega 	 adjective 
 exist ; be 	 ekzisti 	 verb 
 exit ; go out ; get out ; leave 	 foriri 	 verb 
 expect ; look ; await ; wait 	 atendi 	 verb 
 experience 	 sperto 	 society 
 expert 	 spertulo 	 profession 
 explain ; explicate 	 ekspliki 	 verb 
 express ; state 	 esprimi 	 verb 
 expression ; look ; aspect ; facial expression ; face 	 rigardo 	 communication 
 eye ; oculus ; optic 	 okulo 	 anatomy 
 fabric ; cloth ; material ; textile 	 sxtofo 	 material 
 face ; human face 	 vizaĝo 	 anatomy 
 fact 	 fakto 	 abstract 
 factory ; mill ; manufacturing plant ; manufactory 	 fabriko 	 city 
 fail ; neglect 	 neglekti 	 verb 
 fake ; false ; faux ; imitation ; simulated 	 falsa 	 adjective 
 fall 	 fali 	 verb 
